127.0.0.1 - - [16/Dec/2017:11:57:20 -0500] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:20 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:21 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9081
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:25 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:25 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9081
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:26 -0500] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:32 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:32 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:32 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:35 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:35 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:57:35 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:59:57 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:11:59:57 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9091
0:0:0:0:0:0:0:1 - - [16/Dec/2017:12:00:07 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [16/Dec/2017:12:00:07 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 9091
0:0:0:0:0:0:0:1 - - [16/Dec/2017:12:00:10 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [16/Dec/2017:12:00:10 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [16/Dec/2017:12:00:10 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [16/Dec/2017:12:00:11 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
