127.0.0.1 - - [24/Dec/2017:23:22:47 -0500] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:48 -0500] "GET /newBank/ HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:48 -0500] "GET /newBank/app.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:48 -0500] "GET /newBank/landing.css HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:48 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 13135
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:49 -0500] "GET /newBank/login.view HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:56 -0500] "GET /newBank/ HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:56 -0500] "GET /newBank/landing.css HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:56 -0500] "GET /newBank/app.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:56 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 13135
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:57 -0500] "GET /newBank/login.view HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:22:57 -0500] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:23:39 -0500] "GET /newBank/register.view HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:23:43 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:23:50 -0500] "POST /newBank/login HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:23:50 -0500] "GET /newBank/app1.view HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:23:50 -0500] "GET /newBank/home.view HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:23:50 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:01 -0500] "GET /newBank/profile.view HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:01 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:05 -0500] "GET /newBank/reimb.view HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:25 -0500] "POST /newBank/reimbursement HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:26 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:28 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:35 -0500] "GET /newBank/logout HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:40 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:40 -0500] "GET /newBank/app2.view HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:40 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:40 -0500] "GET /newBank/home2.view HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:40 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:43 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:43 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:43 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:59 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:24:59 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:25:10 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Dec/2017:23:25:11 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 1243
