0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:39:29 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:39:29 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:39:41 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:39:41 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:45 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:45 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 8952
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:49 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:49 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:49 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:50 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:50 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:40:50 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:10 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:10 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 8968
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:13 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:13 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:13 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [15/Dec/2017:23:45:18 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 108
