127.0.0.1 - - [14/Dec/2017:09:11:09 -0500] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:11:10 -0500] "GET /newBank/ HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:11:10 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:11:12 -0500] "GET /newBank/ HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:11:12 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:11:12 -0500] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:13:08 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:13:25 -0500] "GET /newBank/ HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:13:25 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7289
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:17 -0500] "GET /newBank/ HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:17 -0500] "GET /newBank/jquery.min.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:17 -0500] "GET /newBank/jquery-ui.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:17 -0500] "GET /newBank/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:17 -0500] "GET /newBank/jquery.min.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:17 -0500] "GET /newBank/jquery-ui.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:19 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:19 -0500] "GET /newBank/jquery.min.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:19 -0500] "GET /newBank/jquery-ui.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:19 -0500] "GET /newBank/jquery.min.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:19 -0500] "GET /newBank/jquery-ui.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:27 -0500] "GET /newBank/ HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:27 -0500] "GET /newBank/jquery.min.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:27 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7289
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:27 -0500] "GET /newBank/jquery-ui.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:28 -0500] "GET /newBank/jquery.min.js HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:15:28 -0500] "GET /newBank/jquery-ui.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:19:26 -0500] "GET /newBank/ HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:19:26 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7289
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:41 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:41 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7664
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:46 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:46 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:46 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:48 -0500] "GET /newBank/profile.view HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:48 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:50 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:29:50 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:35 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:35 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7687
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:39 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:39 -0500] "GET /newBank/app2.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:41 -0500] "GET /newBank/profile.view HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:41 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:43 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:49 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:49 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7687
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:52 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:52 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:52 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:54 -0500] "GET /newBank/profile.view HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:54 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:31:55 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:32:58 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:32:58 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 7738
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:33:00 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:33:00 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:33:00 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:33:02 -0500] "GET /newBank/profile.view HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:33:02 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [14/Dec/2017:09:33:03 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
