127.0.0.1 - - [17/Dec/2017:14:27:48 -0500] "GET / HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:27:49 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:27:49 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 10084
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:27:57 -0500] "GET /newBank/ HTTP/1.1" 200 1751
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:27:57 -0500] "GET /newBank/js/login.js HTTP/1.1" 200 10084
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:27:57 -0500] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:01 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:01 -0500] "GET /newBank/home.view HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:01 -0500] "GET /newBank/app2.view HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:02 -0500] "GET /newBank/profile2.view HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:02 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:02 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:28:07 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:34:36 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:34:40 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:34:41 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:34:41 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:34:44 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:35:29 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:35:32 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:35:33 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:35:33 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:35:35 -0500] "PUT /newBank/updateStatus HTTP/1.1" 500 1849
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:36:32 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:36:36 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:36:37 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:36:37 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:36:40 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:40:39 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:40:42 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:40:43 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:40:43 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:42:17 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:42:21 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:42:21 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:42:21 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:25 -0500] "PUT /newBank/updateStatus HTTP/1.1" 500 2214
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:25 -0500] "PUT /newBank/updateStatus HTTP/1.1" 500 2214
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:31 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:34 -0500] "POST /newBank/login HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:35 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:35 -0500] "GET /newBank/getTableInfo HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:44:38 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:45:47 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:45:54 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:46:00 -0500] "PUT /newBank/updateStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:47:09 -0500] "GET /newBank/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:47:13 -0500] "POST /newBank/login HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:47:13 -0500] "GET /newBank/app1.view HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:47:14 -0500] "GET /newBank/profile.view HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:47:14 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [17/Dec/2017:14:55:22 -0500] "GET /newBank/getUserInfo HTTP/1.1" 200 86
